date,reality,green1,green2,green3,blue1,blue2,blue3,med,min,max,error_min,error_med,error_max
2020-10-23,1721.5714285714287,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,-3.5,-3.5,-3.5
2020-10-24,1797.2857142857142,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,-2.5,-2.5,-2.5
2020-10-25,1873,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,-1.5,-1.5,-1.5
2020-10-26,1948.7142857142856,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,-0.5,-0.5,-0.5
2020-10-27,2024.4285714285713,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,0.5,0.5,0.5
2020-10-28,2100.142857142857,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,1.5,1.5,1.5
2020-10-29,2175.8571428571427,2251,2251,2251,2251,2251,2251,2251,2251,2251,2.5,2.5,2.5
2020-10-30,2196.7551020408164,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2.9,2.9,2.9
2020-10-31,2217.6530612244896,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,3.3,3.3,3.3
2020-11-01,2238.5510204081634,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,3.7,3.7,3.7
2020-11-02,2259.4489795918366,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,4.2,4.2,4.2
2020-11-03,2280.3469387755104,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,4.6,4.6,4.6
2020-11-04,2301.2448979591836,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,5,5,5
2020-11-05,2322.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,5.4,5.4,5.4
2020-11-06,2274.9387755102043,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,3.9,3.9,3.9
2020-11-07,2227.7346938775513,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2.5,2.5,2.5
2020-11-08,2180.5306122448983,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,1,1,1
2020-11-09,2133.326530612245,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,-0.5,-0.5,-0.5
2020-11-10,2086.122448979592,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,-2,-2,-2
2020-11-11,2038.9183673469388,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,-3.5,-3.5,-3.5
2020-11-12,1991.7142857142858,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,-5,-5,-5
2020-11-13,1914.8979591836735,1774,1774,1774,1774,1774,1774,1774,1774,1774,-4.6,-4.6,-4.6
2020-11-14,1838.0816326530612,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,-4.3,-4.3,-4.3
2020-11-15,1761.2653061224491,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,-4,-4,-4
2020-11-16,1684.4489795918369,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,-3.6,-3.6,-3.6
