date,reality,RedVacc,RedR,OrangeR,LightBlueR,DarkBlueR,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-09-08,361,2112,2102,1421,709,313,1421,313,2112,-1.6,34.9,57.7,483.2857142857143,1164.0000000000364,354.71428571428527,298.0905158270925,1247.1723995744676
2021-09-09,348,2069,2065,1390,691,301,1390,301,2069,-1.5,34.3,56.7,483.2857142857143,1183.000000000037,358.99999999999955,301.4833736025887,1265.3527630053286
2021-09-10,341,2026,2028,1359,666,276,1359,276,2028,-2.1,33.5,55.6,483.2857142857143,1202.0000000000375,363.2857142857138,304.8762313780849,1283.4422246190352
2021-09-11,319,1984,1978,1328,647,264,1328,264,1984,-1.8,33.2,54.8,483.2857142857143,1221.0000000000384,367.5714285714281,308.26908915358115,1301.4412389246736
2021-09-12,304,1941,1929,1291,623,251,1291,251,1941,-1.7,32.5,53.9,483.2857142857143,1240.000000000039,371.8571428571424,311.6619469290774,1319.3502581587834
2021-09-13,298,1884,1886,1260,598,239,1260,239,1886,-1.9,31.7,52.3,483.2857142857143,1259.0000000000398,376.14285714285666,315.0548047045736,1337.1697322967227
2021-09-14,287,1841,1830,1217,579,226,1217,226,1841,-2.0,30.6,51.2,483.2857142857143,1278.0000000000405,380.42857142857093,318.4476624800699,1354.9001090639722
2021-09-15,269,1785,1780,1192,561,214,1192,214,1785,-1.8,30.4,49.9,483.2857142857143,1297.0000000000412,384.7142857142852,321.84052025556605,1372.5418339473858
2021-09-16,254,1735,1725,1155,536,202,1155,202,1735,-1.7,29.7,48.8,483.2857142857143,1316.0000000000418,388.9999999999995,325.23337803106233,1390.0953502063821
2021-09-17,238,1671,1675,1118,524,189,1118,189,1675,-1.6,29.0,47.3,483.2857142857143,1335.0000000000423,393.28571428571377,328.6262358065585,1407.5610988840835
2021-09-18,226,1628,1619,1081,499,183,1081,183,1628,-1.4,28.2,46.2,483.2857142857143,1354.0000000000432,397.571428571428,332.0190935820548,1424.9395188183964
2021-09-19,218,1571,1570,1044,486,177,1044,177,1571,-1.4,27.2,44.6,483.2857142857143,1373.000000000044,401.8571428571423,335.41195135755095,1442.2310466530375
2021-09-20,213,1514,1508,1006,462,165,1006,165,1514,-1.6,26.1,42.9,483.2857142857143,1392.0000000000446,406.1428571428566,338.80480913304723,1459.4361168485057
2021-09-21,202,1458,1458,982,449,158,982,158,1458,-1.4,25.7,41.4,483.2857142857143,1411.0000000000452,410.4285714285709,342.19766690854345,1476.5551616929965
2021-09-22,194,1415,1409,945,437,152,945,152,1415,-1.4,24.7,40.2,483.2857142857143,1430.000000000046,414.7142857142851,345.5905246840397,1493.5886113132647
2021-09-23,189,1358,1347,907,418,140,907,140,1358,-1.6,23.6,38.5,483.2857142857143,1449.0000000000466,418.99999999999943,348.9833824595359,1510.536893685432
2021-09-24,188,1301,1304,883,400,140,883,140,1304,-1.6,22.9,36.8,483.2857142857143,1468.0000000000473,423.2857142857137,352.3762402350321,1527.400434645738
2021-09-25,180,1244,1248,846,387,127,846,127,1248,-1.7,21.9,35.2,483.2857142857143,1487.000000000048,427.571428571428,355.76909801052835,1544.1796579012425
2021-09-26,165,1202,1198,821,375,127,821,127,1202,-1.3,21.6,34.2,483.2857142857143,1506.0000000000489,431.85714285714226,359.1619557860246,1560.8749850404697
2021-09-27,162,1131,1149,784,363,115,784,115,1149,-1.5,20.5,32.5,483.2857142857143,1525.000000000049,436.14285714285654,362.55481356152086,1577.4868355440005
2021-09-28,159,1088,1099,759,350,115,759,115,1099,-1.4,19.8,31.0,483.2857142857143,1544.00000000005,440.4285714285708,365.947671337017,1594.015626795014
2021-09-29,171,1045,1050,722,338,103,722,103,1050,-2.2,18.1,29.0,483.2857142857143,1563.0000000000507,444.7142857142851,369.3405291125133,1610.4617740897722
2021-09-30,165,1003,1013,697,325,103,697,103,1013,-2.0,17.5,27.9,483.2857142857143,1582.0000000000514,448.9999999999994,372.7333868880095,1626.8256906480567
