date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2020-11-25,1151.183673469388,1159.4285714285716,1159.4285714285716,1159.4285714285716,1159.4285714285716,1159.4285714285716,1159.4285714285716,0.3,0.3,0.3
2020-11-26,1100.7142857142858,1109,1109,1109,1109,1109,1109,0.3,0.3,0.3
2020-11-27,1090.4489795918369,1099.5102040816328,1099.5102040816328,1099.5102040816328,1099.5102040816328,1099.5102040816328,1099.5102040816328,0.3,0.3,0.3
2020-11-28,1080.1836734693877,1090.0204081632653,1090.0204081632653,1090.0204081632653,1090.0204081632653,1090.0204081632653,1090.0204081632653,0.3,0.3,0.3
2020-11-29,1069.9183673469388,1080.530612244898,1080.530612244898,1080.530612244898,1080.530612244898,1080.530612244898,1080.530612244898,0.3,0.3,0.3
2020-11-30,1059.6530612244899,1071.0408163265306,1071.0408163265306,1071.0408163265306,1071.0408163265306,1071.0408163265306,1071.0408163265306,0.4,0.4,0.4
2020-12-01,1049.387755102041,1061.5510204081634,1061.5510204081634,1061.5510204081634,1061.5510204081634,1061.5510204081634,1061.5510204081634,0.4,0.4,0.4
2020-12-02,1039.1224489795918,1052.061224489796,1052.061224489796,1052.061224489796,1052.061224489796,1052.061224489796,1052.061224489796,0.4,0.4,0.4
2020-12-03,1028.857142857143,1042.5714285714287,1042.5714285714287,1042.5714285714287,1042.5714285714287,1042.5714285714287,1042.5714285714287,0.5,0.5,0.5
2020-12-04,1022.5714285714286,1036.1224489795918,1036.1224489795918,1036.1224489795918,1036.1224489795918,1036.1224489795918,1036.1224489795918,0.4,0.4,0.4
2020-12-05,1016.2857142857143,1029.6734693877552,1029.6734693877552,1029.6734693877552,1029.6734693877552,1029.6734693877552,1029.6734693877552,0.4,0.4,0.4
2020-12-06,1010,1023.2244897959184,1023.2244897959184,1023.2244897959184,1023.2244897959184,1023.2244897959184,1023.2244897959184,0.4,0.4,0.4
2020-12-07,1003.7142857142858,1016.7755102040817,1016.7755102040817,1016.7755102040817,1016.7755102040817,1016.7755102040817,1016.7755102040817,0.4,0.4,0.4
2020-12-08,997.4285714285714,1010.3265306122449,1010.3265306122449,1010.3265306122449,1010.3265306122449,1010.3265306122449,1010.3265306122449,0.4,0.4,0.4
2020-12-09,991.1428571428572,1003.8775510204082,1003.8775510204082,1003.8775510204082,1003.8775510204082,1003.8775510204082,1003.8775510204082,0.4,0.4,0.4
2020-12-10,984.8571428571429,997.4285714285714,997.4285714285714,997.4285714285714,997.4285714285714,997.4285714285714,997.4285714285714,0.4,0.4,0.4
2020-12-11,984.8979591836735,997.0816326530612,997.0816326530612,997.0816326530612,997.0816326530612,997.0816326530612,997.0816326530612,0.4,0.4,0.4
2020-12-12,984.9387755102041,996.7346938775511,996.7346938775511,996.7346938775511,996.7346938775511,996.7346938775511,996.7346938775511,0.4,0.4,0.4
2020-12-13,984.9795918367347,996.3877551020408,996.3877551020408,996.3877551020408,996.3877551020408,996.3877551020408,996.3877551020408,0.4,0.4,0.4
2020-12-14,985.0204081632653,996.0408163265306,996.0408163265306,996.0408163265306,996.0408163265306,996.0408163265306,996.0408163265306,0.4,0.4,0.4
2020-12-15,985.0612244897959,995.6938775510204,995.6938775510204,995.6938775510204,995.6938775510204,995.6938775510204,995.6938775510204,0.4,0.4,0.4
2020-12-16,985.1020408163265,995.3469387755102,995.3469387755102,995.3469387755102,995.3469387755102,995.3469387755102,995.3469387755102,0.3,0.3,0.3
2020-12-17,985.1428571428571,995,995,995,995,995,995,0.3,0.3,0.3
