date,reality,blue_full,blue_dashed,purple_full,purple_dashed,pink_full,pink_dashed,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-08-28,517,3526,2629,2553,1921,1492,1165,2237.0,1165,3526,21.3,56.7,99.1,242.57142857142858,471.5150845429025,437.4285714285718,570.3563749156876,849.5088602236268
2021-08-29,505,3637,2684,2608,1928,1503,1145,2268.0,1145,3637,21.1,58.1,103.2,242.57142857142858,480.0792312974087,445.1428571428575,581.1156388133777,864.4019460079952
2021-08-30,494,3729,2675,2657,1937,1503,1119,2297.0,1119,3729,20.6,59.4,106.6,242.57142857142858,488.64326323872194,452.8571428571432,591.8749027110678,879.2205663634417
2021-08-31,468,3816,2706,2711,1944,1497,1093,2325.0,1093,3816,20.6,61.2,110.3,242.57142857142858,497.2074259894969,460.57142857142895,602.6341666087577,893.9650936171108
2021-09-01,464,3903,2722,2755,1938,1497,1078,2330.0,1078,3903,20.2,61.5,113.3,242.57142857142858,505.7715564672312,468.2857142857147,613.3934305064477,908.6358982345117
2021-09-02,454,3974,2755,2782,1927,1492,1062,2341.0,1062,3974,20.0,62.2,115.9,242.57142857142858,514.3356327196167,476.0000000000004,624.1526944041377,923.2333488288256
2021-09-03,435,4023,2722,2809,1905,1486,1034,2313.5,1034,4023,19.7,61.9,118.2,242.57142857142858,522.899770814661,483.7142857142861,634.9119583018277,937.7578121701679
2021-09-04,427,4072,2711,2825,1901,1475,1018,2306.0,1018,4072,19.5,61.9,120.1,242.57142857142858,531.4638936187771,491.42857142857184,645.6712221995177,952.2096531948034
2021-09-05,416,4105,2698,2827,1872,1464,1009,2285.0,1009,4105,19.5,61.6,121.5,242.57142857142858,540.0279908127299,499.1428571428576,656.4304860972077,966.5892350143158
2021-09-06,400,4127,2673,2836,1838,1454,970,2255.5,970,4127,18.8,61.1,122.8,242.57142857142858,548.592117243957,506.8571428571433,667.1897499948977,980.8969189247307
2021-09-07,377,4127,2646,2836,1807,1443,929,2226.5,929,4127,18.2,60.9,123.5,242.57142857142858,557.1562364304042,514.571428571429,677.9490138925877,995.1330644155934
2021-09-08,361,4116,2589,2815,1797,1426,920,2193.0,920,4116,18.4,60.3,123.7,242.57142857142858,565.7203435214085,522.2857142857147,688.7082777902777,1009.2980291790018
2021-09-09,348,4088,2542,2798,1764,1399,898,2153.0,898,4088,18.1,59.5,123.2,242.57142857142858,574.284464434873,530.0000000000005,699.4675416879677,1023.3921691185932
2021-09-10,341,4050,2526,2766,1731,1372,876,2128.5,876,4050,17.6,58.9,122.2,242.57142857142858,582.8485819158109,537.7142857142862,710.2268055856578,1037.4158383584868
2021-09-11,319,4001,2477,2733,1731,1350,855,2104.0,855,4001,17.7,58.8,121.3,242.57142857142858,591.4126936841906,545.4285714285719,720.9860694833477,1051.3693892521806
2021-09-12,304,3947,2444,2689,1684,1317,846,2064.0,846,3947,17.9,58.0,120.0,242.57142857142858,599.9768119873892,553.1428571428576,731.7453333810378,1065.2531723914062
2021-09-13,298,3865,2384,2646,1623,1285,818,2003.5,818,3865,17.1,56.2,117.5,242.57142857142858,608.5409286642898,560.8571428571433,742.5045972787277,1079.0675366149355
2021-09-14,287,3779,2291,2602,1595,1263,790,1943.0,790,3779,16.6,54.5,115.0,242.57142857142858,617.1050426432093,568.5714285714291,753.2638611764178,1092.8128290173472
2021-09-15,269,3713,2276,2537,1562,1230,768,1919.0,768,3713,16.4,54.3,113.4,242.57142857142858,625.6691597115812,576.2857142857148,764.0231250741077,1106.489394957747
2021-09-16,254,3609,2221,2477,1524,1192,740,1872.5,740,3609,16.0,53.3,110.5,242.57142857142858,634.2332760094334,584.0000000000005,774.7823889717978,1120.0975780684446
2021-09-17,238,3511,2183,2406,1503,1160,724,1843.0,724,3511,16.0,52.9,107.8,242.57142857142858,642.7973910330592,591.7142857142862,785.5416528694877,1133.6377202635888
2021-09-18,226,3392,2102,2341,1449,1116,708,1775.5,708,3392,15.9,51.0,104.3,242.57142857142858,651.3615075172778,599.428571428572,796.3009167671777,1147.1101617477575
2021-09-19,218,3272,2003,2259,1383,1083,686,1693.0,686,3272,15.4,48.6,100.6,242.57142857142858,659.925623636436,607.1428571428577,807.0601806648677,1160.515241024505
2021-09-20,213,3158,1971,2167,1345,1029,630,1658.0,630,3158,13.7,47.6,97.0,242.57142857142858,668.489739153792,614.8571428571433,817.8194445625577,1173.853294904869
2021-09-21,202,3040,1905,2090,1317,991,622,1611.0,622,3040,13.8,46.4,93.5,242.57142857142858,677.0538553616685,622.5714285714291,828.5787084602478,1187.124658515831
2021-09-22,194,2902,1745,2003,1268,953,616,1506.5,616,2902,13.9,43.2,89.2,242.57142857142858,685.6179713965861,630.2857142857149,839.3379723579377,1200.3296653087382
2021-09-23,189,2760,1829,1916,1258,915,588,1543.5,588,2760,13.1,44.6,84.7,242.57142857142858,694.1820871472798,638.0000000000006,850.0972362556278,1213.468647067681
2021-09-24,188,2635,1658,1840,1139,876,577,1398.5,577,2635,12.8,39.9,80.6,242.57142857142858,702.7462032244289,645.7142857142862,860.8565001533177,1226.541933917829
2021-09-25,180,2504,1644,1753,1111,833,555,1377.5,555,2504,12.4,39.4,76.5,242.57142857142858,711.3103192196336,653.428571428572,871.6157640510078,1239.5498543337262
2021-09-26,165,2384,1601,1666,1105,800,546,1353.0,546,2384,12.5,39.1,73.1,242.57142857142858,719.8744350806031,661.1428571428578,882.3750279486977,1252.492735147544
2021-09-27,162,2265,1493,1601,1049,762,525,1271.0,525,2265,12.0,36.5,69.3,242.57142857142858,728.4385510959098,668.8571428571435,893.1342918463878,1265.3709015572927
2021-09-28,159,2145,1499,1513,1029,729,500,1264.0,500,2145,11.2,36.4,65.4,242.57142857142858,737.0026670723933,676.5714285714291,903.8935557440776,1278.1846771349926
2021-09-29,171,2031,1385,1454,1013,697,476,1199.0,476,2031,10.0,33.9,61.3,242.57142857142858,745.5667829854792,684.2857142857149,914.6528196417678,1290.934383834804
2021-09-30,165,1922,1356,1383,893,670,468,1124.5,468,1922,10.0,31.6,57.9,242.57142857142858,754.1308989715307,692.0000000000007,925.4120835394576,1303.6203420011166
