date,Median,Relaxation,Strenghtening,reality_report,reality
2021-02-16,1461.5102040816328,1474.2857142857142,1415.326530612245,NA,1149.5714285714287
2021-02-17,1475.0408163265306,1493.7142857142858,1426.0204081632653,NA,1146.5714285714287
2021-02-18,1488.5714285714287,1513.142857142857,1436.7142857142858,NA,1143.5714285714287
2021-02-19,1513.6734693877552,1567.7551020408164,1445.6530612244899,NA,1149.387755102041
2021-02-20,1538.7755102040817,1622.3673469387754,1454.591836734694,NA,1155.204081632653
2021-02-21,1563.8775510204082,1676.9795918367347,1463.530612244898,NA,1161.0204081632653
2021-02-22,1588.9795918367347,1731.5918367346937,1472.469387755102,NA,1166.8367346938776
2021-02-23,1614.0816326530612,1786.204081632653,1481.408163265306,NA,1172.6530612244899
2021-02-24,1639.1836734693877,1840.816326530612,1490.3469387755101,NA,1178.469387755102
2021-02-25,1664.2857142857142,1895.4285714285713,1499.2857142857142,NA,1184.2857142857142
2021-02-26,1705.3877551020407,1982.3673469387754,1501.1224489795918,NA,1188.5306122448978
2021-02-27,1746.4897959183672,2069.3061224489793,1502.9591836734694,NA,1192.7755102040817
2021-02-28,1787.5918367346937,2156.2448979591836,1504.795918367347,NA,1197.0204081632653
2021-03-01,1828.6938775510203,2243.183673469388,1506.6326530612243,NA,1201.265306122449
2021-03-02,1869.795918367347,2330.122448979592,1508.469387755102,NA,1205.5102040816325
2021-03-03,1910.8979591836735,2417.0612244897957,1510.3061224489795,NA,1209.7551020408164
2021-03-04,1952,2504,1512.142857142857,NA,1214
2021-03-05,2020.1836734693877,2633.591836734694,1530.6734693877552,NA,1221.6734693877552
2021-03-06,2088.3673469387754,2763.183673469388,1549.204081632653,NA,1229.3469387755101
2021-03-07,2156.5510204081634,2892.775510204082,1567.734693877551,NA,1237.0204081632653
2021-03-08,2224.734693877551,3022.3673469387754,1586.265306122449,NA,1244.6938775510205
2021-03-09,2292.918367346939,3151.9591836734694,1604.795918367347,NA,1252.3673469387757
2021-03-10,2361.1020408163263,3281.5510204081634,1623.3265306122448,NA,1260.0408163265306
2021-03-11,2429.285714285714,3411.1428571428573,1641.857142857143,NA,1267.7142857142858
2021-03-12,2518.9795918367345,3613.0408163265306,1673.4285714285716,NA,1295.0408163265306
2021-03-13,2608.673469387755,3814.9387755102043,1705,NA,1322.3673469387757
2021-03-14,2698.3673469387754,4016.8367346938776,1736.5714285714287,NA,1349.6938775510205
2021-03-15,2788.061224489796,4218.734693877551,1768.142857142857,NA,1377.0204081632653
2021-03-16,2877.7551020408164,4420.632653061225,1799.7142857142858,NA,1404.3469387755104
2021-03-17,2967.448979591837,4622.530612244898,1831.2857142857142,NA,1431.6734693877552
2021-03-18,3057.1428571428573,4824.428571428572,1862.857142857143,NA,1459
