date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40
2021/04/22,1560,1560,1667,1560,1667,1560,1667,1560,1667,1560,1667,1560,1667
2021/04/23,1560,1560,1658,1560,1658,1560,1658,1560,1658,1560,1658,1560,1658
2021/04/24,1541,1541,1649,1541,1649,1541,1649,1541,1649,1541,1649,1541,1649
2021/04/25,,1479,1636,1479,1636,1479,1636,1479,1636,1479,1636,1479,1636
2021/04/26,,1459,1625,1459,1625,1459,1625,1459,1625,1459,1625,1459,1625
2021/04/27,,1446,1625,1446,1625,1446,1625,1446,1625,1446,1625,1446,1625
2021/04/28,,1414,1607,1414,1607,1414,1607,1414,1607,1414,1607,1414,1607
2021/04/29,,1386,1583,1386,1583,1386,1583,1386,1583,1386,1583,1386,1583
2021/04/30,,1344,1561,1344,1561,1344,1561,1344,1561,1344,1561,1344,1561
2021/05/01,,1323,1538,1323,1538,1323,1538,1323,1538,1323,1538,1323,1538
2021/05/02,,1296,1542,1296,1542,1296,1542,1296,1542,1296,1542,1296,1542
2021/05/03,,1278,1523,1278,1523,1278,1523,1278,1523,1278,1523,1278,1523
2021/05/04,,1260,1471,1260,1471,1260,1471,1260,1471,1260,1471,1260,1471
2021/05/05,,1203,1446,1203,1446,1203,1446,1204,1446,1204,1446,1204,1446
2021/05/06,,1185,1438,1185,1438,1185,1438,1194,1438,1194,1438,1194,1438
2021/05/07,,1165,1416,1165,1416,1165,1416,1171,1416,1171,1416,1171,1416
2021/05/08,,1134,1393,1134,1393,1134,1393,1144,1393,1144,1393,1144,1393
2021/05/09,,1088,1373,1088,1373,1088,1373,1116,1373,1116,1373,1116,1373
2021/05/10,,1060,1362,1060,1362,1060,1362,1067,1362,1067,1362,1067,1362
2021/05/11,,1025,1335,1025,1335,1025,1335,1037,1335,1037,1335,1037,1335
2021/05/12,,998,1317,998,1317,998,1317,1010,1317,1010,1317,1010,1317
2021/05/13,,971,1309,971,1309,971,1309,986,1309,986,1309,986,1309
2021/05/14,,945,1260,945,1260,945,1260,956,1260,956,1260,956,1260
2021/05/15,,915,1211,915,1211,915,1211,926,1211,926,1211,926,1211
2021/05/16,,890,1204,890,1204,890,1204,909,1204,909,1204,909,1204
2021/05/17,,871,1190,871,1190,871,1190,883,1190,883,1190,883,1190
2021/05/18,,850,1168,850,1168,850,1172,861,1168,861,1168,861,1168
2021/05/19,,832,1152,832,1180,832,1155,839,1152,839,1180,839,1180
2021/05/20,,814,1159,814,1158,814,1156,821,1159,821,1158,821,1158
2021/05/21,,795,1131,795,1161,795,1143,795,1131,829,1161,788,1161
2021/05/22,,786,1102,786,1168,786,1134,778,1102,819,1168,781,1168
2021/05/23,,773,1073,827,1176,763,1124,756,1044,806,1176,760,1176
2021/05/24,,764,1044,831,1184,768,1113,727,1030,797,1184,741,1034
2021/05/25,,757,1045,833,1191,767,1104,704,1015,790,1191,726,1026
2021/05/26,,746,1029,826,1194,772,1093,687,1003,774,1078,706,1008
2021/05/27,,734,1018,831,1172,771,1091,665,1000,767,1089,697,1003
2021/05/28,,718,1005,839,1182,773,1091,642,948,764,1063,682,997
2021/05/29,,698,1008,848,1200,769,1091,626,874,762,1054,672,974
2021/05/30,,689,991,859,1209,769,1090,603,856,743,1047,663,945
2021/05/31,,679,968,868,1206,773,1086,589,833,735,1046,660,917
2021/06/01,,675,945,879,1228,773,1056,571,809,730,1036,647,895
2021/06/02,,662,927,892,1250,773,1046,557,805,727,1024,635,895
2021/06/03,,657,922,897,1274,773,1075,539,770,719,1012,625,877
2021/06/04,,648,908,917,1293,773,1079,521,728,718,1001,613,853
2021/06/05,,636,895,925,1292,772,1082,503,694,712,994,596,841
2021/06/06,,628,880,935,1309,764,1072,489,683,711,983,586,848
2021/06/07,,621,885,945,1317,765,1072,473,662,699,973,577,847
2021/06/08,,612,864,954,1326,765,1067,457,640,689,962,561,835
2021/06/09,,603,845,963,1336,764,1062,439,625,681,949,548,830
2021/06/10,,593,823,972,1335,757,1058,424,552,672,947,538,766
2021/06/11,,581,801,982,1332,759,1049,411,526,668,927,527,752
2021/06/12,,572,782,994,1331,768,1053,401,514,665,902,517,716
2021/06/13,,563,765,1003,1340,769,1051,382,517,658,877,517,697
2021/06/14,,554,765,1012,1364,765,1047,373,509,651,854,508,694
2021/06/15,,546,756,1022,1385,756,1043,362,495,646,874,495,679
2021/06/16,,537,752,1039,1410,752,1039,349,481,642,874,481,660
2021/06/17,,531,757,1050,1428,757,1035,340,468,638,865,469,641
2021/06/18,,527,760,1063,1439,756,1032,332,460,635,868,460,625
2021/06/19,,521,739,1082,1461,756,1033,322,451,634,863,455,620
2021/06/20,,513,719,1096,1466,756,1033,310,446,628,865,446,609
2021/06/21,,511,699,1109,1486,756,1028,301,436,627,869,440,600
2021/06/22,,505,678,1123,1510,761,1025,295,414,623,858,432,587
2021/06/23,,498,677,1142,1531,765,1027,287,402,623,844,423,581
2021/06/24,,497,668,1155,1547,765,1024,281,395,616,830,415,562
2021/06/25,,488,662,1169,1554,765,1021,272,383,611,818,409,551
2021/06/26,,483,653,1182,1563,765,1018,264,379,610,803,404,539
2021/06/27,,479,,1192,1572,765,1015,262,388,605,806,394,527
2021/06/28,,471,,1204,1585,765,1012,249,389,603,798,390,517
2021/06/29,,464,,1216,,765,1010,245,,595,789,384,506
2021/06/30,,460,,1230,,765,1008,236,,591,784,376,501
2021/07/01,,451,,1240,,761,1004,229,,588,775,370,491
