date,green1,green2,green3,blue1,blue2,blue3,reality_report,reality
2020-11-30,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1059.6530612244899
2020-12-01,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1049.387755102041
2020-12-02,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1039.1224489795918
2020-12-03,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1028.857142857143
2020-12-04,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1022.5714285714286
2020-12-05,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1016.2857142857143
2020-12-06,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,1010
2020-12-07,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,1003.7142857142858
2020-12-08,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,997.4285714285714
2020-12-09,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,991.1428571428572
2020-12-10,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,984.8571428571429
2020-12-11,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,984.8979591836735
2020-12-12,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,984.9387755102041
2020-12-13,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,984.9795918367347
2020-12-14,949,949,949,949,949,949,949,985.0204081632653
2020-12-15,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,985.0612244897959
2020-12-16,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,985.1020408163265
2020-12-17,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,985.1428571428571
2020-12-18,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,972.8979591836735
2020-12-19,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,960.6530612244898
2020-12-20,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,948.4081632653061
2020-12-21,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,936.1632653061224
2020-12-22,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,923.9183673469388
2020-12-23,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,911.6734693877552
2020-12-24,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,899.4285714285714
2020-12-25,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,907.1020408163265
2020-12-26,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,914.7755102040817
2020-12-27,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,922.4489795918367
2020-12-28,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,930.1224489795918
2020-12-29,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,937.7959183673469
2020-12-30,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,945.469387755102
2020-12-31,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,953.1428571428571
