date,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line,reality_report,reality
2021-11-22,13,52,54,117,159,191,137,208,192,195,182,119,65,48,18,NA,497
2021-11-23,13,45,48,116,167,204,145,233,207,213,190,123,65,47,9,NA,525
2021-11-24,15,53,53,118,169,217,149,244,232,232,200,127,68,56,8,NA,553
2021-11-25,13,55,55,121,176,230,154,235,238,250,201,130,72,56,8,NA,581
2021-11-26,13,55,55,125,182,240,159,283,237,275,217,134,76,56,8,NA,610
2021-11-27,13,54,54,128,189,250,163,311,267,291,222,138,79,57,7,NA,638
2021-11-28,13,58,58,131,193,251,165,337,248,303,233,142,81,52,13,NA,666
2021-11-29,13,54,65,131,204,263,157,343,238,327,242,148,86,47,11,NA,694
2021-11-30,13,51,71,132,205,263,162,333,292,326,263,154,88,55,8,NA,722
2021-12-01,13,59,71,134,215,276,169,312,305,352,264,160,96,56,8,NA,751
2021-12-02,13,61,71,136,224,293,177,318,305,376,282,166,96,57,8,NA,779
2021-12-03,13,61,71,139,226,311,185,364,323,403,289,171,96,65,8,NA,807
2021-12-04,13,61,76,141,236,326,192,418,332,429,306,175,96,60,8,NA,835
2021-12-05,12,62,80,143,245,334,196,467,345,450,326,176,98,60,8,NA,864
2021-12-06,10,53,80,148,252,348,196,496,357,470,334,178,99,65,8,NA,892
2021-12-07,6,49,81,148,261,360,201,511,374,476,343,182,100,63,8,NA,920
2021-12-08,10,53,82,150,274,363,206,539,384,513,361,188,102,72,8,NA,948
2021-12-09,10,58,83,153,279,385,213,539,404,524,388,193,103,72,7,NA,968
2021-12-10,10,58,84,156,292,411,219,575,416,555,401,198,104,73,1,NA,989
2021-12-11,7,58,85,159,301,434,225,618,433,594,406,203,104,65,9,NA,1001
2021-12-12,6,58,86,162,307,443,239,660,451,631,427,211,100,59,8,NA,1010
2021-12-13,8,51,86,168,319,458,244,690,470,669,438,217,96,71,8,NA,1020
2021-12-14,13,49,87,164,325,473,251,694,481,704,461,224,96,72,8,NA,1019
2021-12-15,11,59,87,167,336,472,257,726,499,714,483,232,96,72,8,NA,1029
